lead_id,age,gender,current_city,current_education,parent_occupation,lead_gen_source,jnr_sm_id,lead_stage,call_done_date,call_status,call_reason,snr_sm_id,assigned_date,cycle,reason_for_no_intrest,language,watched_percentage,lead_status
USR1001,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,JNR1001MG,lead,1/2/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,No time for student,not available,0.0,yet to convert
USR1001,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,JNR1001MG,lead,1/2/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,No time for student,not available,0.0,yet to convert
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,lead,1/3/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,Shown Interest,Telugu,42.0,yet to convert
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,lead,1/4/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,Shown Interest,Telugu,42.0,yet to convert
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,awareness,1/5/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,Shown Interest,Telugu,42.0,yet to convert
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,awareness,1/6/2022,successful,followup_for_consideration,SNR501MG,1/1/2022,1,Shown Interest,Telugu,42.0,yet to convert
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,consideration,1/7/2022,successful,interested_for_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,42.0,yet to convert
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,consideration,1/7/2022,successful,followup_for_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,42.0,yet to convert
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,conversion,1/7/2022,successful,successful_conversion,SNR501MG,1/1/2022,1,Shown Interest,Telugu,42.0,converted
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,lead,1/4/2022,unsuccessful,lead_introduction,SNR501MG,1/1/2022,1,No time for student,Telugu,81.0,yet to convert
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,lead,1/5/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,No time for student,Telugu,81.0,yet to convert
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,lead,1/7/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,No time for student,Telugu,81.0,yet to convert
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,awareness,1/8/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,No time for student,Telugu,81.0,yet to convert
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,awareness,1/9/2022,successful,followup_for_consideration,SNR501MG,1/1/2022,1,No time for student,Telugu,81.0,yet to convert
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,JNR1001MG,lead,1/1/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,Wants offline classes,Telugu,35.0,yet to convert
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,JNR1001MG,lead,1/2/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,Wants offline classes,Telugu,35.0,yet to convert
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,JNR1001MG,awareness,1/3/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,Wants offline classes,Telugu,35.0,yet to convert
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,JNR1001MG,lead,1/1/2022,unsuccessful,lead_introduction,SNR501MG,1/1/2022,1,Cannot afford,Hindi,38.0,yet to convert
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,JNR1001MG,lead,1/2/2022,successful,lead_introduction,SNR501MG,1/1/2022,1,Cannot afford,Hindi,38.0,yet to convert
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,JNR1001MG,lead,1/3/2022,successful,demo_schedule,SNR501MG,1/1/2022,1,Cannot afford,Hindi,38.0,yet to convert
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,JNR1001MG,awareness,1/4/2022,successful,post_demo_followup,SNR501MG,1/1/2022,1,Cannot afford,Hindi,38.0,yet to convert
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,JNR1001MG,lead,1/10/2022,successful,lead_introduction,SNR501MG,1/8/2022,2,Student not interested in domain,Hindi,54.0,yet to convert
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,JNR1001MG,lead,1/12/2022,successful,demo_schedule,SNR501MG,1/8/2022,2,Student not interested in domain,Hindi,54.0,yet to convert
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,JNR1001MG,lead,1/13/2022,successful,demo_not_attended,SNR501MG,1/8/2022,2,Student not interested in domain,Hindi,54.0,yet to convert
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,JNR1001MG,awareness,1/13/2022,successful,post_demo_followup,SNR501MG,1/8/2022,2,Student not interested in domain,Hindi,54.0,yet to convert
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,lead,1/11/2022,successful,lead_introduction,SNR501MG,1/8/2022,2,Shown Interest,English,52.0,yet to convert
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,lead,1/11/2022,successful,demo_schedule,SNR501MG,1/8/2022,2,Shown Interest,English,52.0,yet to convert
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,awareness,1/12/2022,successful,post_demo_followup,SNR501MG,1/8/2022,2,Shown Interest,English,52.0,yet to convert
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,awareness,1/13/2022,successful,followup_for_consideration,SNR501MG,1/8/2022,2,Shown Interest,English,52.0,yet to convert
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,consideration,1/14/2022,successful,interested_for_conversion,SNR501MG,1/8/2022,2,Shown Interest,English,52.0,yet to convert
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,consideration,1/14/2022,successful,followup_for_conversion,SNR501MG,1/8/2022,2,Shown Interest,English,52.0,yet to convert
